Percentiles,Home Page,Search Page,Simple Form 1,Simple Form 2
33.7,512.0,453.0,913.0,2728.0
33.8,512.0,453.0,913.0,2728.0
33.9,512.0,457.0,913.0,2728.0
34.0,512.0,457.0,913.0,2728.0
34.1,512.0,457.0,913.0,2728.0
34.2,512.0,457.0,913.0,2728.0
34.3,512.0,457.0,913.0,2728.0
34.4,512.0,457.0,913.0,2728.0
34.5,512.0,457.0,913.0,2843.0
34.6,512.0,457.0,913.0,2843.0
34.7,512.0,457.0,913.0,2843.0
34.8,515.0,457.0,913.0,2843.0
34.9,515.0,457.0,913.0,2843.0
35.0,515.0,457.0,913.0,2843.0
35.1,515.0,457.0,913.0,2843.0
35.2,515.0,457.0,913.0,2843.0
35.3,515.0,457.0,1005.0,2843.0
35.4,515.0,476.0,1005.0,2843.0
35.5,515.0,476.0,1005.0,2843.0
35.6,515.0,476.0,1005.0,2843.0
35.7,515.0,476.0,1005.0,2843.0
35.8,515.0,476.0,1005.0,2843.0
35.9,515.0,476.0,1005.0,2843.0
36.0,515.0,476.0,1005.0,2843.0
36.1,515.0,476.0,1005.0,2859.0
36.2,515.0,476.0,1005.0,2859.0
36.3,534.0,476.0,1005.0,2859.0
36.4,534.0,476.0,1005.0,2859.0
36.5,534.0,476.0,1005.0,2859.0
36.6,534.0,476.0,1005.0,2859.0
36.7,534.0,476.0,1005.0,2859.0
36.8,534.0,476.0,1005.0,2859.0
36.9,534.0,476.0,1005.0,2859.0
37.0,534.0,534.0,1005.0,2859.0
37.1,534.0,534.0,1005.0,2859.0
37.2,534.0,534.0,1005.0,2859.0
37.3,534.0,534.0,1018.0,2859.0
37.4,534.0,534.0,1018.0,2859.0
37.5,534.0,534.0,1018.0,2859.0
37.6,534.0,534.0,1018.0,2859.0
37.7,562.0,534.0,1018.0,2859.0
37.8,562.0,534.0,1018.0,2879.0
37.9,562.0,534.0,1018.0,2879.0
38.0,562.0,534.0,1018.0,2879.0
38.1,562.0,534.0,1018.0,2879.0
38.2,562.0,534.0,1018.0,2879.0
38.3,562.0,534.0,1018.0,2879.0
38.4,562.0,534.0,1018.0,2879.0
38.5,562.0,539.0,1018.0,2879.0
38.6,562.0,539.0,1018.0,2879.0
38.7,562.0,539.0,1018.0,2879.0
38.8,562.0,539.0,1018.0,2879.0
38.9,562.0,539.0,1018.0,2879.0
39.0,562.0,539.0,1018.0,2879.0
39.1,562.0,539.0,1018.0,2879.0
39.2,595.0,539.0,1018.0,2879.0
39.3,595.0,539.0,1063.0,2879.0
39.4,595.0,539.0,1063.0,2908.0
39.5,595.0,539.0,1063.0,2908.0
39.6,595.0,539.0,1063.0,2908.0
39.7,595.0,539.0,1063.0,2908.0
39.8,595.0,539.0,1063.0,2908.0
39.9,595.0,539.0,1063.0,2908.0
40.0,595.0,539.0,1063.0,2908.0
40.1,595.0,543.0,1063.0,2908.0
40.2,595.0,543.0,1063.0,2908.0
40.3,595.0,543.0,1063.0,2908.0
40.4,595.0,543.0,1063.0,2908.0
40.5,595.0,543.0,1063.0,2908.0
40.6,621.0,543.0,1063.0,2908.0
40.7,621.0,543.0,1063.0,2908.0
40.8,621.0,543.0,1063.0,2908.0
40.9,621.0,543.0,1063.0,2908.0
41.0,621.0,543.0,1063.0,3161.0
41.1,621.0,543.0,1063.0,3161.0
41.2,621.0,543.0,1148.0,3161.0
41.3,621.0,543.0,1148.0,3161.0
41.4,621.0,543.0,1148.0,3161.0
41.5,621.0,543.0,1148.0,3161.0
41.6,621.0,557.0,1148.0,3161.0
41.7,621.0,557.0,1148.0,3161.0
41.8,621.0,557.0,1148.0,3161.0
41.9,621.0,557.0,1148.0,3161.0
42.0,621.0,557.0,1148.0,3161.0
42.1,627.0,557.0,1148.0,3161.0
42.2,627.0,557.0,1148.0,3161.0
42.3,627.0,557.0,1148.0,3161.0
42.4,627.0,557.0,1148.0,3161.0
42.5,627.0,557.0,1148.0,3161.0
42.6,627.0,557.0,1148.0,3161.0
42.7,627.0,557.0,1148.0,3441.0
42.8,627.0,557.0,1148.0,3441.0
42.9,627.0,557.0,1148.0,3441.0
43.0,627.0,557.0,1148.0,3441.0
43.1,627.0,561.0,1148.0,3441.0
43.2,627.0,561.0,1155.0,3441.0
43.3,627.0,561.0,1155.0,3441.0
43.4,627.0,561.0,1155.0,3441.0
43.5,639.0,561.0,1155.0,3441.0
43.6,639.0,561.0,1155.0,3441.0
43.7,639.0,561.0,1155.0,3441.0
43.8,639.0,561.0,1155.0,3441.0
43.9,639.0,561.0,1155.0,3441.0
44.0,639.0,561.0,1155.0,3441.0
44.1,639.0,561.0,1155.0,3441.0
44.2,639.0,561.0,1155.0,3441.0
44.3,639.0,561.0,1155.0,3682.0
44.4,639.0,561.0,1155.0,3682.0
44.5,639.0,561.0,1155.0,3682.0
44.6,639.0,561.0,1155.0,3682.0
44.7,639.0,587.0,1155.0,3682.0
44.8,639.0,587.0,1155.0,3682.0
44.9,639.0,587.0,1155.0,3682.0
45.0,651.0,587.0,1155.0,3682.0
45.1,651.0,587.0,1161.0,3682.0
45.2,651.0,587.0,1161.0,3682.0
45.3,651.0,587.0,1161.0,3682.0
45.4,651.0,587.0,1161.0,3682.0
45.5,651.0,587.0,1161.0,3682.0
45.6,651.0,587.0,1161.0,3682.0
45.7,651.0,587.0,1161.0,3682.0
45.8,651.0,587.0,1161.0,3682.0
45.9,651.0,587.0,1161.0,3682.0
46.0,651.0,587.0,1161.0,3690.0
46.1,651.0,587.0,1161.0,3690.0
46.2,651.0,608.0,1161.0,3690.0
46.3,651.0,608.0,1161.0,3690.0
46.4,661.0,608.0,1161.0,3690.0
46.5,661.0,608.0,1161.0,3690.0
46.6,661.0,608.0,1161.0,3690.0
46.7,661.0,608.0,1161.0,3690.0
46.8,661.0,608.0,1161.0,3690.0
46.9,661.0,608.0,1161.0,3690.0
47.0,661.0,608.0,1161.0,3690.0
47.1,661.0,608.0,1162.0,3690.0
47.2,661.0,608.0,1162.0,3690.0
47.3,661.0,608.0,1162.0,3690.0
47.4,661.0,608.0,1162.0,3690.0
47.5,661.0,608.0,1162.0,3690.0
47.6,661.0,608.0,1162.0,4079.0
47.7,661.0,612.0,1162.0,4079.0
47.8,661.0,612.0,1162.0,4079.0
47.9,717.0,612.0,1162.0,4079.0
48.0,717.0,612.0,1162.0,4079.0
48.1,717.0,612.0,1162.0,4079.0
48.2,717.0,612.0,1162.0,4079.0
48.3,717.0,612.0,1162.0,4079.0
48.4,717.0,612.0,1162.0,4079.0
48.5,717.0,612.0,1162.0,4079.0
48.6,717.0,612.0,1162.0,4079.0
48.7,717.0,612.0,1162.0,4079.0
48.8,717.0,612.0,1162.0,4079.0
48.9,717.0,612.0,1162.0,4079.0
49.0,717.0,612.0,1162.0,4079.0
49.1,717.0,612.0,1175.0,4079.0
49.2,717.0,612.0,1175.0,4219.0
49.3,748.0,621.0,1175.0,4219.0
49.4,748.0,621.0,1175.0,4219.0
49.5,748.0,621.0,1175.0,4219.0
49.6,748.0,621.0,1175.0,4219.0
49.7,748.0,621.0,1175.0,4219.0
49.8,748.0,621.0,1175.0,4219.0
49.9,748.0,621.0,1175.0,4219.0
50.0,748.0,621.0,1175.0,4219.0
50.1,748.0,621.0,1175.0,4219.0
50.2,748.0,621.0,1175.0,4219.0
50.3,748.0,621.0,1175.0,4219.0
50.4,748.0,621.0,1175.0,4219.0
50.5,748.0,621.0,1175.0,4219.0
50.6,748.0,621.0,1175.0,4219.0
50.7,748.0,621.0,1175.0,4219.0
50.8,787.0,623.0,1175.0,4219.0
50.9,787.0,623.0,1175.0,5003.0
51.0,787.0,623.0,1208.0,5003.0
51.1,787.0,623.0,1208.0,5003.0
51.2,787.0,623.0,1208.0,5003.0
51.3,787.0,623.0,1208.0,5003.0
51.4,787.0,623.0,1208.0,5003.0
51.5,787.0,623.0,1208.0,5003.0
51.6,787.0,623.0,1208.0,5003.0
51.7,787.0,623.0,1208.0,5003.0
51.8,787.0,623.0,1208.0,5003.0
51.9,787.0,623.0,1208.0,5003.0
52.0,787.0,623.0,1208.0,5003.0
52.1,787.0,623.0,1208.0,5003.0
52.2,807.0,623.0,1208.0,5003.0
52.3,807.0,623.0,1208.0,5003.0
52.4,807.0,636.0,1208.0,5003.0
52.5,807.0,636.0,1208.0,5049.0
52.6,807.0,636.0,1208.0,5049.0
52.7,807.0,636.0,1208.0,5049.0
52.8,807.0,636.0,1208.0,5049.0
52.9,807.0,636.0,1208.0,5049.0
53.0,807.0,636.0,1270.0,5049.0
53.1,807.0,636.0,1270.0,5049.0
53.2,807.0,636.0,1270.0,5049.0
53.3,807.0,636.0,1270.0,5049.0
53.4,807.0,636.0,1270.0,5049.0
53.5,807.0,636.0,1270.0,5049.0
53.6,807.0,636.0,1270.0,5049.0
53.7,821.0,636.0,1270.0,5049.0
53.8,821.0,636.0,1270.0,5049.0
53.9,821.0,646.0,1270.0,5049.0
54.0,821.0,646.0,1270.0,5049.0
54.1,821.0,646.0,1270.0,5167.0
54.2,821.0,646.0,1270.0,5167.0
54.3,821.0,646.0,1270.0,5167.0
54.4,821.0,646.0,1270.0,5167.0
54.5,821.0,646.0,1270.0,5167.0
54.6,821.0,646.0,1270.0,5167.0
54.7,821.0,646.0,1270.0,5167.0
54.8,821.0,646.0,1270.0,5167.0
54.9,821.0,646.0,1270.0,5167.0
55.0,821.0,646.0,1308.0,5167.0
55.1,836.0,646.0,1308.0,5167.0
55.2,836.0,646.0,1308.0,5167.0
55.3,836.0,646.0,1308.0,5167.0
55.4,836.0,671.0,1308.0,5167.0
55.5,836.0,671.0,1308.0,5167.0
55.6,836.0,671.0,1308.0,5167.0
55.7,836.0,671.0,1308.0,5167.0
55.8,836.0,671.0,1308.0,5233.0
55.9,836.0,671.0,1308.0,5233.0
56.0,836.0,671.0,1308.0,5233.0
56.1,836.0,671.0,1308.0,5233.0
56.2,836.0,671.0,1308.0,5233.0
56.3,836.0,671.0,1308.0,5233.0
56.4,836.0,671.0,1308.0,5233.0
56.5,836.0,671.0,1308.0,5233.0
56.6,845.0,671.0,1308.0,5233.0
56.7,845.0,671.0,1308.0,5233.0
56.8,845.0,671.0,1308.0,5233.0
56.9,845.0,671.0,1346.0,5233.0
57.0,845.0,694.0,1346.0,5233.0
57.1,845.0,694.0,1346.0,5233.0
57.2,845.0,694.0,1346.0,5233.0
57.3,845.0,694.0,1346.0,5233.0
57.4,845.0,694.0,1346.0,5288.0
57.5,845.0,694.0,1346.0,5288.0
57.6,845.0,694.0,1346.0,5288.0
57.7,845.0,694.0,1346.0,5288.0
57.8,845.0,694.0,1346.0,5288.0
57.9,845.0,694.0,1346.0,5288.0
58.0,870.0,694.0,1346.0,5288.0
58.1,870.0,694.0,1346.0,5288.0
58.2,870.0,694.0,1346.0,5288.0
58.3,870.0,694.0,1346.0,5288.0
58.4,870.0,694.0,1346.0,5288.0
58.5,870.0,716.0,1346.0,5288.0
58.6,870.0,716.0,1346.0,5288.0
58.7,870.0,716.0,1346.0,5288.0
58.8,870.0,716.0,1346.0,5288.0
58.9,870.0,716.0,1416.0,5288.0
59.0,870.0,716.0,1416.0,5288.0
59.1,870.0,716.0,1416.0,5467.0
59.2,870.0,716.0,1416.0,5467.0
59.3,870.0,716.0,1416.0,5467.0
59.4,870.0,716.0,1416.0,5467.0
59.5,919.0,716.0,1416.0,5467.0
59.6,919.0,716.0,1416.0,5467.0
59.7,919.0,716.0,1416.0,5467.0
59.8,919.0,716.0,1416.0,5467.0
59.9,919.0,716.0,1416.0,5467.0
60.0,919.0,716.0,1416.0,5467.0
60.1,919.0,716.0,1416.0,5467.0
60.2,919.0,716.0,1416.0,5467.0
60.3,919.0,716.0,1416.0,5467.0
60.4,919.0,716.0,1416.0,5467.0
60.5,919.0,716.0,1416.0,5467.0
60.6,919.0,716.0,1416.0,5467.0
60.7,919.0,716.0,1416.0,5689.0
60.8,919.0,716.0,1484.0,5689.0
60.9,942.0,716.0,1484.0,5689.0
61.0,942.0,716.0,1484.0,5689.0
61.1,942.0,716.0,1484.0,5689.0
61.2,942.0,716.0,1484.0,5689.0
61.3,942.0,716.0,1484.0,5689.0
61.4,942.0,716.0,1484.0,5689.0
61.5,942.0,716.0,1484.0,5689.0
61.6,942.0,718.0,1484.0,5689.0
61.7,942.0,718.0,1484.0,5689.0
61.8,942.0,718.0,1484.0,5689.0
61.9,942.0,718.0,1484.0,5689.0
62.0,942.0,718.0,1484.0,5689.0
62.1,942.0,718.0,1484.0,5689.0
62.2,942.0,718.0,1484.0,5689.0
62.3,942.0,718.0,1484.0,5761.0
62.4,968.0,718.0,1484.0,5761.0
62.5,968.0,718.0,1484.0,5761.0
62.6,968.0,718.0,1484.0,5761.0
62.7,968.0,718.0,1484.0,5761.0
62.8,968.0,718.0,1515.0,5761.0
62.9,968.0,718.0,1515.0,5761.0
63.0,968.0,718.0,1515.0,5761.0
63.1,968.0,721.0,1515.0,5761.0
63.2,968.0,721.0,1515.0,5761.0
63.3,968.0,721.0,1515.0,5761.0
63.4,968.0,721.0,1515.0,5761.0
63.5,968.0,721.0,1515.0,5761.0
63.6,968.0,721.0,1515.0,5761.0
63.7,968.0,721.0,1515.0,5761.0
63.8,1007.0,721.0,1515.0,5761.0
63.9,1007.0,721.0,1515.0,5761.0
64.0,1007.0,721.0,1515.0,5863.0
64.1,1007.0,721.0,1515.0,5863.0
64.2,1007.0,721.0,1515.0,5863.0
64.3,1007.0,721.0,1515.0,5863.0
64.4,1007.0,721.0,1515.0,5863.0
64.5,1007.0,721.0,1515.0,5863.0
64.6,1007.0,721.0,1515.0,5863.0
64.7,1007.0,725.0,1515.0,5863.0
64.8,1007.0,725.0,1575.0,5863.0
64.9,1007.0,725.0,1575.0,5863.0
